"artist","name","birthPlace","works"
"http://dbpedia.org/resource/Robert_Graham_(sculptor)","Robert Graham","Mexico City, Mexico","Olympic Gateway – Memorial Coliseum, Los Angeles, California ;"
"http://dbpedia.org/resource/Coosje_van_Bruggen","Coosje van Bruggen","Groningen, Netherlands","http://dbpedia.org/resource/List_of_public_art_by_Oldenburg_and_van_Bruggen"
"http://dbpedia.org/resource/Max_Beckmann","Max Beckmann","http://dbpedia.org/resource/Leipzig","The Night, Christ and the Woman Taken in Adultery"
"http://dbpedia.org/resource/Max_Beckmann","Max Beckmann","http://dbpedia.org/resource/Kingdom_of_Saxony","The Night, Christ and the Woman Taken in Adultery"
"http://dbpedia.org/resource/Robert_Ortlieb","Robert Ortlieb","San Diego, California","""For They Know Not What They Do"", ""Emergence"""
"http://dbpedia.org/resource/Edward_Hodges_Baily","Edward Hodges Baily","Bristol, England","http://dbpedia.org/resource/Nelson's_Column"
"http://dbpedia.org/resource/Franz_Iffland","Franz Iffland","http://dbpedia.org/resource/Berlin","Columbine"
"http://dbpedia.org/resource/Franz_Iffland","Franz Iffland","http://dbpedia.org/resource/Berlin","The Archer"
"http://dbpedia.org/resource/Franz_Iffland","Franz Iffland","http://dbpedia.org/resource/Kingdom_of_Prussia","Columbine"
"http://dbpedia.org/resource/Franz_Iffland","Franz Iffland","http://dbpedia.org/resource/Kingdom_of_Prussia","The Archer"
"http://dbpedia.org/resource/Frederick_Hart_(sculptor)","Frederick Hart","Atlanta, Georgia","Ex Nihilo, Washington National Cathedral;"
"http://dbpedia.org/resource/Frederick_Hart_(sculptor)","Frederick Hart","Atlanta, Georgia","The Three Soldiers, Vietnam Veterans Memorial; James Earl Carter Presidential Statue, Georgia State Capitol"
"http://dbpedia.org/resource/Gary_Hill","Gary Hill","Santa Monica, California, U.S.","Electronic Linguistic , Happenstance  , Why Do Things Get in a Muddle?  , Incidence of Catastrophe , Tall Ships , HanD HearD , Frustrum"
"http://dbpedia.org/resource/Gaston_Lachaise","Gaston Lachaise","Paris, France","Standing Woman"
"http://dbpedia.org/resource/Ghisha_Koenig","Ghisha Koenig","London, England","The Machine Minders"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Miodrag Živković","http://dbpedia.org/resource/Leskovac_(Lazarevac)","Tjentište"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Миодраг Живковић","http://dbpedia.org/resource/Leskovac_(Lazarevac)","Tjentište"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Miodrag Živković","http://dbpedia.org/resource/Leskovac_(Lazarevac)","Kadinjača Memorial Complex"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Миодраг Живковић","http://dbpedia.org/resource/Leskovac_(Lazarevac)","Kadinjača Memorial Complex"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Miodrag Živković","http://dbpedia.org/resource/Leskovac_(Lazarevac)","The Interrupted Flight"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Миодраг Живковић","http://dbpedia.org/resource/Leskovac_(Lazarevac)","The Interrupted Flight"
"http://dbpedia.org/resource/Miodrag_Živković_(sculptor)","Miodrag Živković","http://dbpedia.org/resource/Kingdom_of_Yugoslavia","Tjentište"
